student_id,first_name,last_name,grade_level,school_id,gender,ell_flag,iep_flag,frl_flag
STU00001,Kai,Thomas,0,S001,M,False,True,False
STU00002,Jamie,Rivera,2,S001,M,True,False,True
STU00003,Noa,Rivera,1,S001,M,False,False,False
STU00004,Micah,Garcia,3,S001,M,False,False,True
STU00005,Parker,Davis,0,S001,M,False,False,True
STU00006,Emery,Johnson,5,S001,M,False,False,True
STU00007,Devon,Garcia,5,S001,F,True,False,True
STU00008,Reese,Thomas,2,S001,F,False,False,True
STU00009,Logan,Davis,4,S001,F,False,False,True
STU00010,Logan,Johnson,4,S001,F,False,False,False
STU00011,Kai,Wilson,1,S001,M,True,True,False
STU00012,Harper,Martinez,2,S001,M,False,False,False
STU00013,Reese,Rivera,0,S001,F,False,False,True
STU00014,Parker,Walker,1,S001,F,True,False,True
STU00015,Harper,Smith,2,S001,M,False,False,False
STU00016,Skyler,Johnson,3,S001,F,True,False,True
STU00017,Casey,Young,4,S001,F,False,False,True
STU00018,Morgan,Lopez,3,S001,M,False,True,True
STU00019,Parker,Brown,2,S001,M,False,False,False
STU00020,Quinn,Khan,5,S001,F,False,True,False
STU00021,Sage,Khan,0,S001,F,False,False,False
STU00022,Avery,Rivera,1,S001,M,False,False,False
STU00023,Finley,Anderson,0,S001,F,True,False,True
STU00024,Harper,Smith,0,S001,F,False,False,False
STU00025,Reese,Davis,5,S001,M,True,False,True
STU00026,Sage,Rivera,2,S001,F,False,False,False
STU00027,Reese,Lee,0,S001,F,False,False,True
STU00028,Quinn,Nguyen,2,S001,M,False,False,False
STU00029,Riley,Thomas,1,S001,F,False,False,False
STU00030,Skyler,Smith,4,S001,M,False,True,False
STU00031,Devon,Lopez,3,S001,M,False,False,True
STU00032,Finley,Lee,4,S001,F,False,False,True
STU00033,Rowan,Hill,1,S001,M,False,False,False
STU00034,Riley,Lee,5,S001,F,False,False,True
STU00035,Jordan,Khan,5,S001,F,False,False,True
STU00036,Jordan,Chen,4,S001,F,False,False,False
STU00037,Casey,Kim,0,S001,M,False,False,True
STU00038,Noa,Nguyen,1,S001,F,True,False,True
STU00039,Emery,Young,1,S001,M,False,False,False
STU00040,Jordan,Khan,4,S001,F,True,False,True
STU00041,Skyler,Smith,5,S001,M,False,False,False
STU00042,Sage,Nguyen,2,S001,M,False,True,True
STU00043,Rowan,Nguyen,4,S001,M,False,False,True
STU00044,Finley,Rivera,5,S001,F,True,False,False
STU00045,Morgan,Lopez,2,S001,M,False,False,True
STU00046,Riley,Brown,3,S001,F,False,False,True
STU00047,Morgan,Kim,3,S001,M,False,True,True
STU00048,Sage,Wilson,1,S001,F,False,False,True
STU00049,Noa,Wilson,5,S001,F,True,True,True
STU00050,Jamie,Garcia,0,S001,F,True,False,False
STU00051,Devon,Chen,4,S001,M,False,False,True
STU00052,Sage,Johnson,1,S001,F,False,False,True
STU00053,Avery,Nguyen,1,S001,M,True,False,True
STU00054,Rowan,Young,2,S001,F,False,False,False
STU00055,Logan,Wilson,1,S001,M,False,False,False
STU00056,Skyler,Lee,4,S001,M,False,False,False
STU00057,Quinn,Garcia,1,S001,F,False,False,True
STU00058,Emery,Brown,0,S001,F,False,False,True
STU00059,Noa,Thomas,4,S001,F,False,False,False
STU00060,Sage,Thomas,5,S001,M,False,False,True
STU00061,Jamie,Nguyen,1,S001,M,False,False,False
STU00062,Finley,Garcia,1,S001,M,True,False,True
STU00063,Parker,Johnson,5,S001,M,False,False,False
STU00064,Jordan,Kim,4,S001,M,True,False,True
STU00065,Reese,Nguyen,0,S001,F,False,False,False
