student_id,first_name,last_name,grade_level,school_id,gender,is_ell,has_iep,is_frl,student_name,grade_label,has_support_need
STU00001,Kai,Thomas,0,S001,M,False,True,False,Kai Thomas,K,True
STU00002,Jamie,Rivera,2,S001,M,True,False,True,Jamie Rivera,2,True
STU00003,Noa,Rivera,1,S001,M,False,False,False,Noa Rivera,1,False
STU00004,Micah,Garcia,3,S001,M,False,False,True,Micah Garcia,3,True
STU00005,Parker,Davis,0,S001,M,False,False,True,Parker Davis,K,True
STU00006,Emery,Johnson,5,S001,M,False,False,True,Emery Johnson,5,True
STU00007,Devon,Garcia,5,S001,F,True,False,True,Devon Garcia,5,True
STU00008,Reese,Thomas,2,S001,F,False,False,True,Reese Thomas,2,True
STU00009,Logan,Davis,4,S001,F,False,False,True,Logan Davis,4,True
STU00010,Logan,Johnson,4,S001,F,False,False,False,Logan Johnson,4,False
STU00011,Kai,Wilson,1,S001,M,True,True,False,Kai Wilson,1,True
STU00012,Harper,Martinez,2,S001,M,False,False,False,Harper Martinez,2,False
STU00013,Reese,Rivera,0,S001,F,False,False,True,Reese Rivera,K,True
STU00014,Parker,Walker,1,S001,F,True,False,True,Parker Walker,1,True
STU00015,Harper,Smith,2,S001,M,False,False,False,Harper Smith,2,False
STU00016,Skyler,Johnson,3,S001,F,True,False,True,Skyler Johnson,3,True
STU00017,Casey,Young,4,S001,F,False,False,True,Casey Young,4,True
STU00018,Morgan,Lopez,3,S001,M,False,True,True,Morgan Lopez,3,True
STU00019,Parker,Brown,2,S001,M,False,False,False,Parker Brown,2,False
STU00020,Quinn,Khan,5,S001,F,False,True,False,Quinn Khan,5,True
STU00021,Sage,Khan,0,S001,F,False,False,False,Sage Khan,K,False
STU00022,Avery,Rivera,1,S001,M,False,False,False,Avery Rivera,1,False
STU00023,Finley,Anderson,0,S001,F,True,False,True,Finley Anderson,K,True
STU00024,Harper,Smith,0,S001,F,False,False,False,Harper Smith,K,False
STU00025,Reese,Davis,5,S001,M,True,False,True,Reese Davis,5,True
STU00026,Sage,Rivera,2,S001,F,False,False,False,Sage Rivera,2,False
STU00027,Reese,Lee,0,S001,F,False,False,True,Reese Lee,K,True
STU00028,Quinn,Nguyen,2,S001,M,False,False,False,Quinn Nguyen,2,False
STU00029,Riley,Thomas,1,S001,F,False,False,False,Riley Thomas,1,False
STU00030,Skyler,Smith,4,S001,M,False,True,False,Skyler Smith,4,True
STU00031,Devon,Lopez,3,S001,M,False,False,True,Devon Lopez,3,True
STU00032,Finley,Lee,4,S001,F,False,False,True,Finley Lee,4,True
STU00033,Rowan,Hill,1,S001,M,False,False,False,Rowan Hill,1,False
STU00034,Riley,Lee,5,S001,F,False,False,True,Riley Lee,5,True
STU00035,Jordan,Khan,5,S001,F,False,False,True,Jordan Khan,5,True
STU00036,Jordan,Chen,4,S001,F,False,False,False,Jordan Chen,4,False
STU00037,Casey,Kim,0,S001,M,False,False,True,Casey Kim,K,True
STU00038,Noa,Nguyen,1,S001,F,True,False,True,Noa Nguyen,1,True
STU00039,Emery,Young,1,S001,M,False,False,False,Emery Young,1,False
STU00040,Jordan,Khan,4,S001,F,True,False,True,Jordan Khan,4,True
STU00041,Skyler,Smith,5,S001,M,False,False,False,Skyler Smith,5,False
STU00042,Sage,Nguyen,2,S001,M,False,True,True,Sage Nguyen,2,True
STU00043,Rowan,Nguyen,4,S001,M,False,False,True,Rowan Nguyen,4,True
STU00044,Finley,Rivera,5,S001,F,True,False,False,Finley Rivera,5,True
STU00045,Morgan,Lopez,2,S001,M,False,False,True,Morgan Lopez,2,True
STU00046,Riley,Brown,3,S001,F,False,False,True,Riley Brown,3,True
STU00047,Morgan,Kim,3,S001,M,False,True,True,Morgan Kim,3,True
STU00048,Sage,Wilson,1,S001,F,False,False,True,Sage Wilson,1,True
STU00049,Noa,Wilson,5,S001,F,True,True,True,Noa Wilson,5,True
STU00050,Jamie,Garcia,0,S001,F,True,False,False,Jamie Garcia,K,True
STU00051,Devon,Chen,4,S001,M,False,False,True,Devon Chen,4,True
STU00052,Sage,Johnson,1,S001,F,False,False,True,Sage Johnson,1,True
STU00053,Avery,Nguyen,1,S001,M,True,False,True,Avery Nguyen,1,True
STU00054,Rowan,Young,2,S001,F,False,False,False,Rowan Young,2,False
STU00055,Logan,Wilson,1,S001,M,False,False,False,Logan Wilson,1,False
STU00056,Skyler,Lee,4,S001,M,False,False,False,Skyler Lee,4,False
STU00057,Quinn,Garcia,1,S001,F,False,False,True,Quinn Garcia,1,True
STU00058,Emery,Brown,0,S001,F,False,False,True,Emery Brown,K,True
STU00059,Noa,Thomas,4,S001,F,False,False,False,Noa Thomas,4,False
STU00060,Sage,Thomas,5,S001,M,False,False,True,Sage Thomas,5,True
STU00061,Jamie,Nguyen,1,S001,M,False,False,False,Jamie Nguyen,1,False
STU00062,Finley,Garcia,1,S001,M,True,False,True,Finley Garcia,1,True
STU00063,Parker,Johnson,5,S001,M,False,False,False,Parker Johnson,5,False
STU00064,Jordan,Kim,4,S001,M,True,False,True,Jordan Kim,4,True
STU00065,Reese,Nguyen,0,S001,F,False,False,False,Reese Nguyen,K,False
STU00066,Emery,Martinez,3,S001,M,False,True,True,Emery Martinez,3,True
STU00067,Jordan,Martinez,4,S001,F,False,False,True,Jordan Martinez,4,True
STU00068,Jamie,Walker,3,S001,M,False,False,True,Jamie Walker,3,True
STU00069,Casey,Hill,1,S001,M,False,False,False,Casey Hill,1,False
STU00070,Casey,Wilson,0,S001,M,False,False,True,Casey Wilson,K,True
STU00071,Parker,Nguyen,3,S001,M,True,False,False,Parker Nguyen,3,True
STU00072,Riley,Smith,4,S001,M,False,True,True,Riley Smith,4,True
STU00073,Logan,Davis,4,S001,F,False,False,False,Logan Davis,4,False
STU00074,Jamie,Rivera,1,S001,F,False,False,True,Jamie Rivera,1,True
STU00075,Logan,Nguyen,4,S001,X,False,False,True,Logan Nguyen,4,True
STU00076,Harper,Walker,0,S001,F,False,False,False,Harper Walker,K,False
STU00077,Casey,Nguyen,4,S001,M,True,True,True,Casey Nguyen,4,True
STU00078,Logan,Anderson,5,S001,M,False,False,True,Logan Anderson,5,True
STU00079,Logan,Hill,4,S001,M,False,False,True,Logan Hill,4,True
STU00080,Sage,Patel,5,S001,F,False,False,False,Sage Patel,5,False
STU00081,Micah,Davis,0,S001,M,False,False,False,Micah Davis,K,False
STU00082,Emery,Hill,0,S001,M,True,False,True,Emery Hill,K,True
STU00083,Micah,Martinez,1,S001,F,True,False,False,Micah Martinez,1,True
STU00084,Reese,Martinez,4,S001,M,False,False,True,Reese Martinez,4,True
STU00085,Noa,Lee,1,S001,M,False,False,False,Noa Lee,1,False
STU00086,Casey,Smith,1,S001,M,False,False,True,Casey Smith,1,True
STU00087,Riley,Young,5,S001,F,False,False,False,Riley Young,5,False
STU00088,Parker,Davis,1,S001,F,False,False,True,Parker Davis,1,True
STU00089,Avery,Kim,5,S001,F,False,False,False,Avery Kim,5,False
STU00090,Reese,Khan,2,S001,M,False,False,False,Reese Khan,2,False
STU00091,Emery,Johnson,2,S001,M,False,False,False,Emery Johnson,2,False
STU00092,Reese,Walker,2,S001,M,False,False,False,Reese Walker,2,False
STU00093,Skyler,Lee,1,S001,M,True,True,False,Skyler Lee,1,True
STU00094,Logan,Garcia,5,S001,F,False,False,True,Logan Garcia,5,True
STU00095,Jamie,Young,0,S001,M,False,False,True,Jamie Young,K,True
STU00096,Morgan,Anderson,0,S001,F,False,False,False,Morgan Anderson,K,False
STU00097,Kai,Davis,2,S001,M,False,False,False,Kai Davis,2,False
STU00098,Skyler,Nguyen,1,S001,F,False,False,True,Skyler Nguyen,1,True
STU00099,Logan,Young,2,S001,M,False,False,True,Logan Young,2,True
STU00100,Emery,Davis,5,S001,F,True,False,True,Emery Davis,5,True
STU00101,Sage,Young,2,S001,F,False,True,True,Sage Young,2,True
STU00102,Casey,Kim,0,S001,M,False,False,True,Casey Kim,K,True
STU00103,Morgan,Chen,1,S001,M,False,False,False,Morgan Chen,1,False
STU00104,Finley,Garcia,5,S001,F,False,False,False,Finley Garcia,5,False
STU00105,Sage,Lee,1,S001,M,False,False,False,Sage Lee,1,False
STU00106,Riley,Walker,4,S001,F,False,False,True,Riley Walker,4,True
STU00107,Devon,Hill,0,S001,M,False,False,True,Devon Hill,K,True
STU00108,Quinn,Nguyen,5,S001,M,False,False,False,Quinn Nguyen,5,False
STU00109,Avery,Davis,3,S001,M,False,False,False,Avery Davis,3,False
STU00110,Micah,Martinez,1,S001,M,False,False,False,Micah Martinez,1,False
STU00111,Kai,Martinez,3,S001,F,False,False,False,Kai Martinez,3,False
STU00112,Parker,Thomas,5,S001,M,False,False,False,Parker Thomas,5,False
STU00113,Jamie,Anderson,5,S001,F,True,False,True,Jamie Anderson,5,True
STU00114,Micah,Hill,2,S001,F,False,False,False,Micah Hill,2,False
STU00115,Jordan,Patel,3,S001,M,False,False,True,Jordan Patel,3,True
STU00116,Jordan,Brown,3,S001,F,True,False,False,Jordan Brown,3,True
STU00117,Kai,Nguyen,3,S001,M,False,True,True,Kai Nguyen,3,True
STU00118,Riley,Anderson,5,S001,M,True,False,False,Riley Anderson,5,True
STU00119,Avery,Rivera,3,S001,M,False,False,False,Avery Rivera,3,False
STU00120,Emery,Lopez,2,S001,M,False,False,True,Emery Lopez,2,True
STU00121,Quinn,Lee,0,S001,F,True,False,False,Quinn Lee,K,True
STU00122,Rowan,Chen,5,S001,X,False,False,True,Rowan Chen,5,True
STU00123,Reese,Johnson,0,S001,M,False,False,False,Reese Johnson,K,False
STU00124,Morgan,Martinez,5,S001,F,False,True,True,Morgan Martinez,5,True
STU00125,Avery,Lopez,3,S001,M,False,False,False,Avery Lopez,3,False
STU00126,Parker,Rivera,2,S001,M,False,False,True,Parker Rivera,2,True
STU00127,Skyler,Walker,3,S001,M,False,False,False,Skyler Walker,3,False
STU00128,Avery,Kim,5,S001,F,False,False,False,Avery Kim,5,False
STU00129,Quinn,Garcia,0,S001,M,False,False,True,Quinn Garcia,K,True
STU00130,Noa,Hill,3,S001,M,False,False,False,Noa Hill,3,False
STU00131,Casey,Johnson,2,S001,F,False,False,True,Casey Johnson,2,True
STU00132,Noa,Davis,3,S001,F,False,True,True,Noa Davis,3,True
STU00133,Morgan,Wilson,0,S001,F,False,False,True,Morgan Wilson,K,True
STU00134,Micah,Smith,0,S001,F,True,False,True,Micah Smith,K,True
STU00135,Skyler,Martinez,5,S001,F,True,True,False,Skyler Martinez,5,True
STU00136,Casey,Nguyen,2,S001,M,False,False,True,Casey Nguyen,2,True
STU00137,Kai,Martinez,3,S001,F,False,False,True,Kai Martinez,3,True
STU00138,Micah,Thomas,5,S001,F,False,False,True,Micah Thomas,5,True
STU00139,Sage,Walker,2,S001,F,True,False,False,Sage Walker,2,True
STU00140,Jordan,Nguyen,4,S001,F,True,True,False,Jordan Nguyen,4,True
STU00141,Morgan,Garcia,2,S001,M,False,True,False,Morgan Garcia,2,True
STU00142,Emery,Anderson,3,S001,F,False,False,True,Emery Anderson,3,True
STU00143,Noa,Wilson,1,S001,M,False,False,False,Noa Wilson,1,False
STU00144,Riley,Lopez,2,S001,M,False,False,True,Riley Lopez,2,True
STU00145,Skyler,Chen,3,S001,F,False,True,True,Skyler Chen,3,True
STU00146,Harper,Khan,0,S001,M,False,False,False,Harper Khan,K,False
STU00147,Reese,Patel,0,S001,F,False,False,True,Reese Patel,K,True
STU00148,Riley,Hill,0,S001,F,True,False,False,Riley Hill,K,True
STU00149,Riley,Wilson,2,S001,M,False,False,True,Riley Wilson,2,True
STU00150,Jamie,Garcia,5,S001,M,False,False,False,Jamie Garcia,5,False
STU00151,Avery,Garcia,1,S001,F,False,False,False,Avery Garcia,1,False
STU00152,Casey,Wilson,3,S001,F,False,False,False,Casey Wilson,3,False
STU00153,Kai,Khan,1,S001,F,False,True,False,Kai Khan,1,True
STU00154,Devon,Lee,5,S001,F,True,False,True,Devon Lee,5,True
STU00155,Harper,Martinez,0,S001,M,False,False,False,Harper Martinez,K,False
STU00156,Parker,Young,0,S001,F,False,False,False,Parker Young,K,False
STU00157,Devon,Davis,3,S001,M,False,False,False,Devon Davis,3,False
STU00158,Rowan,Smith,3,S001,M,False,False,True,Rowan Smith,3,True
STU00159,Morgan,Davis,0,S001,F,False,False,False,Morgan Davis,K,False
STU00160,Noa,Walker,4,S001,F,False,False,False,Noa Walker,4,False
STU00161,Rowan,Nguyen,2,S001,M,False,False,True,Rowan Nguyen,2,True
STU00162,Devon,Brown,3,S001,F,False,False,True,Devon Brown,3,True
STU00163,Parker,Khan,0,S001,F,False,False,True,Parker Khan,K,True
STU00164,Sage,Patel,1,S001,F,False,False,True,Sage Patel,1,True
STU00165,Avery,Nguyen,0,S001,M,False,False,True,Avery Nguyen,K,True
STU00166,Morgan,Kim,2,S001,F,False,False,False,Morgan Kim,2,False
STU00167,Parker,Anderson,0,S001,M,True,False,True,Parker Anderson,K,True
STU00168,Morgan,Wilson,5,S001,F,False,False,False,Morgan Wilson,5,False
STU00169,Casey,Garcia,3,S001,F,False,False,False,Casey Garcia,3,False
STU00170,Jamie,Kim,1,S001,F,False,False,False,Jamie Kim,1,False
STU00171,Morgan,Anderson,0,S001,F,False,True,True,Morgan Anderson,K,True
STU00172,Casey,Chen,5,S001,F,False,False,True,Casey Chen,5,True
STU00173,Jamie,Smith,5,S001,M,False,False,True,Jamie Smith,5,True
STU00174,Skyler,Patel,5,S001,F,False,False,False,Skyler Patel,5,False
STU00175,Emery,Kim,1,S001,M,False,False,True,Emery Kim,1,True
STU00176,Devon,Smith,2,S001,M,False,False,True,Devon Smith,2,True
