student_id,student_name,grade_label,district_name,school_name,subject_id,fall_score,spring_score,scaled_growth,percentile_change,fall_band,spring_band,growth_flag
STU00001,Kai Thomas,K,Riverside Unified,Maple Grove Elementary,SUBJ_R,222.0,175.1,-46.9,-3,At/Above Benchmark,At/Above Benchmark,Declining
STU00001,Kai Thomas,K,Riverside Unified,Maple Grove Elementary,SUBJ_M,65.0,89.9,24.9,2,Intervention,On Watch,On Track
STU00002,Jamie Rivera,2,Riverside Unified,Maple Grove Elementary,SUBJ_R,398.0,533.2,135.2,12,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00002,Jamie Rivera,2,Riverside Unified,Maple Grove Elementary,SUBJ_M,330.8,330.4,-0.4,0,On Watch,On Watch,Flat
STU00003,Noa Rivera,1,Riverside Unified,Maple Grove Elementary,SUBJ_R,298.2,310.5,12.3,-2,At/Above Benchmark,At/Above Benchmark,On Track
STU00003,Noa Rivera,1,Riverside Unified,Maple Grove Elementary,SUBJ_M,421.8,462.3,40.5,-4,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00004,Micah Garcia,3,Riverside Unified,Maple Grove Elementary,SUBJ_R,524.9,529.8,4.9,7,On Watch,At/Above Benchmark,Flat
STU00004,Micah Garcia,3,Riverside Unified,Maple Grove Elementary,SUBJ_M,565.3,498.6,-66.7,-1,At/Above Benchmark,At/Above Benchmark,Declining
STU00005,Parker Davis,K,Riverside Unified,Maple Grove Elementary,SUBJ_R,182.5,92.2,-90.3,-11,On Watch,On Watch,Declining
STU00005,Parker Davis,K,Riverside Unified,Maple Grove Elementary,SUBJ_M,408.7,440.6,31.9,-3,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00006,Emery Johnson,5,Riverside Unified,Maple Grove Elementary,SUBJ_R,788.0,905.3,117.3,21,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00006,Emery Johnson,5,Riverside Unified,Maple Grove Elementary,SUBJ_M,619.2,715.1,95.9,19,On Watch,At/Above Benchmark,Strong Growth
STU00007,Devon Garcia,5,Riverside Unified,Maple Grove Elementary,SUBJ_R,410.9,567.0,156.1,19,Urgent Intervention,On Watch,Strong Growth
STU00007,Devon Garcia,5,Riverside Unified,Maple Grove Elementary,SUBJ_M,577.0,718.1,141.1,28,On Watch,At/Above Benchmark,Strong Growth
STU00008,Reese Thomas,2,Riverside Unified,Maple Grove Elementary,SUBJ_R,452.8,542.0,89.2,19,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00008,Reese Thomas,2,Riverside Unified,Maple Grove Elementary,SUBJ_M,295.8,414.3,118.5,4,On Watch,At/Above Benchmark,Strong Growth
STU00009,Logan Davis,4,Riverside Unified,Maple Grove Elementary,SUBJ_R,781.1,883.0,101.9,23,At/Above Benchmark,At/Above Benchmark,Strong Growth
STU00009,Logan Davis,4,Riverside Unified,Maple Grove Elementary,SUBJ_M,472.7,552.9,80.2,11,On Watch,At/Above Benchmark,Strong Growth
STU00010,Logan Johnson,4,Riverside Unified,Maple Grove Elementary,SUBJ_R,598.7,638.0,39.3,15,On Watch,At/Above Benchmark,Strong Growth
STU00010,Logan Johnson,4,Riverside Unified,Maple Grove Elementary,SUBJ_M,490.9,580.8,89.9,22,On Watch,At/Above Benchmark,Strong Growth
